   yymm   ddhh    dir  speed   PASQ   TEMP
   1702    705    100     51     40    162
   1702    706     80     52     40    163
   1702    707     90     58     40    162
   1702    708     90     54     40    163
   1702    709    100     53     40    161
   1702    710    110     58     40    161
   1702    711     80     85     40    162
   1702    712     80     63     40    161
   1702    713     80     56     40    163
   1702    714     90     61     40    167
   1702    715     90     45     20    169
   1702    716     70     49     25    171
   1702    717     70     43     40    170
   1702    718    110     46     40    168
   1702    719     80     18     60    167
   1702    720     80     39     40    170
   1702    721     60     44     40    170
   1702    722     70     39     40    170
   1702    723     50     51     40    168
   1702    724     80     48     40    164
   1702    801     80     44     40    163
   1702    802     80     29     50    163
   1702    803     80     46     40    163
   1702    804     70     35     40    163
   1702    805     70     42     40    163
   1702    806     90     37     40    163
   1702    807     50     15     60    163
   1702    808     90      8     60    164
   1702    809    170      5     40    169
   1702    810    160     34     30    172
   1702    811     20      7     20    169
   1702    812    130      8     15    183
   1702    813    110     13     10    192
   1702    814    190     13     15    197
   1702    815    180     15     15    195
   1702    816    200     14     20    189
   1702    817    190      9     40    186
   1702    818    200      8     60    184
   1702    819    360      8     60    181
   1702    820     20     15     60    188
   1702    821     10     71     40    169
   1702    822    360     62     40    158
   1702    823     20     50     40    141
   1702    824   9999     19     40    138
   1702    901     10    103     40    138
   1702    902    360    159     40    134
   1702    903     10    111     40    130
   1702    904     10    102     40    122
   1702    905    360    139     40    115
   1702    906     10    107     40    114
   1702    907    360     94     40    112
   1702    908     20     23     50    111
   1702    909     20     28     40    111
   1702    910     20     91     40    118
   1702    911     20     66     40    128
   1702    912     10     55     30    136
   1702    913     10     56     35    144
   1702    914     20     77     40    147
